<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.22	00:00:00	186.892	187.010	186.796	186.920	3450	2128230000	46
2015.09.22	01:00:00	186.923	186.983	186.851	186.912	4282	3661700000	40
2015.09.22	02:00:00	186.912	186.913	186.795	186.847	2900	1655200000	36
2015.09.22	03:00:00	186.848	186.925	186.749	186.797	3413	3068124000	33
2015.09.22	04:00:00	186.796	186.858	186.686	186.741	3599	2707267000	31
2015.09.22	05:00:00	186.741	186.875	186.735	186.852	3687	2752938000	30
2015.09.22	06:00:00	186.850	186.909	186.742	186.820	4935	4352273000	30
2015.09.22	07:00:00	186.820	186.923	186.789	186.826	4815	4274174000	29
2015.09.22	08:00:00	186.823	186.906	186.787	186.826	4428	3248510000	32
2015.09.22	09:00:00	186.831	186.846	186.461	186.519	8700	7678679000	29
2015.09.22	10:00:00	186.519	186.519	185.755	185.786	13390	12977803000	29
2015.09.22	11:00:00	185.785	185.867	185.325	185.638	14053	13350698000	29
2015.09.22	12:00:00	185.638	185.764	185.260	185.302	11892	11419207000	29
2015.09.22	13:00:00	185.304	185.353	184.809	185.147	11859	10892517000	29
2015.09.22	14:00:00	185.145	185.271	184.929	185.194	10210	9774212000	29
2015.09.22	15:00:00	185.198	185.229	184.857	184.969	11105	10817448000	29
2015.09.22	16:00:00	184.971	185.017	184.608	184.742	13627	12482466000	29
2015.09.22	17:00:00	184.740	184.864	184.089	184.157	14368	12703761000	29
2015.09.22	18:00:00	184.157	184.567	184.115	184.321	11982	10874021000	29
2015.09.22	19:00:00	184.321	184.594	184.262	184.407	8513	7504674000	30
2015.09.22	20:00:00	184.407	184.476	184.152	184.367	7277	6620626000	30
2015.09.22	21:00:00	184.364	184.584	184.275	184.503	6866	6129229000	29
2015.09.22	22:00:00	184.504	184.750	184.492	184.577	6631	5847642000	29
2015.09.22	23:00:00	184.574	184.650	184.522	184.558	4574	3060507000	29
2015.09.23	00:00:00	184.517	184.591	184.416	184.503	3034	2704366000	44
2015.09.23	01:00:00	184.499	184.514	184.217	184.217	3585	2577150000	36
2015.09.23	02:00:00	184.217	184.376	184.186	184.341	2700	2034586000	29
2015.09.23	03:00:00	184.343	184.646	184.340	184.544	5330	4678588000	29
2015.09.23	04:00:00	184.544	184.611	183.828	183.833	6183	5524799000	30
2015.09.23	05:00:00	183.837	184.003	183.671	183.999	7803	6390548000	29
2015.09.23	06:00:00	184.002	184.010	183.686	183.874	4968	4641222000	31
2015.09.23	07:00:00	183.874	183.932	183.682	183.761	4049	3914539000	31
2015.09.23	08:00:00	183.761	183.889	183.528	183.850	5425	4705312000	29
2015.09.23	09:00:00	183.851	184.351	183.727	184.336	10178	9292389000	29
2015.09.23	10:00:00	184.338	184.547	183.541	184.340	15030	13861929000	29
2015.09.23	11:00:00	184.340	184.522	184.264	184.454	11499	10821325000	29
2015.09.23	12:00:00	184.454	184.481	183.767	183.821	10903	9361575000	29
2015.09.23	13:00:00	183.818	184.096	183.636	184.096	9538	8171007000	29
2015.09.23	14:00:00	184.095	184.112	183.831	183.880	9496	8622029000	29
2015.09.23	15:00:00	183.880	183.894	183.336	183.358	11125	9902397000	29
2015.09.23	16:00:00	183.357	183.517	183.150	183.445	14291	12559131000	29
2015.09.23	17:00:00	183.445	183.781	183.317	183.460	14379	11893960000	29
2015.09.23	18:00:00	183.456	183.537	182.903	183.065	11903	11025928000	29
2015.09.23	19:00:00	183.075	183.432	182.978	183.432	8274	7909286000	29
2015.09.23	20:00:00	183.436	183.468	183.141	183.385	7418	7648034000	29
2015.09.23	21:00:00	183.376	183.457	183.232	183.288	7477	8058964000	29
2015.09.23	22:00:00	183.280	183.453	183.098	183.221	7546	7596898000	31
2015.09.23	23:00:00	183.223	183.400	183.219	183.287	5901	5300650000	33
2015.09.24	00:00:00	183.268	183.361	183.198	183.270	2680	3073506000	51
2015.09.24	01:00:00	183.279	183.323	183.227	183.299	4627	3962623000	35
2015.09.24	02:00:00	183.297	183.376	183.240	183.306	3515	2746278000	35
2015.09.24	03:00:00	183.306	183.543	183.166	183.177	8925	6824057000	29
2015.09.24	04:00:00	183.177	183.391	183.136	183.276	7910	7197050000	31
2015.09.24	05:00:00	183.276	183.327	182.803	182.968	7698	6439622000	29
2015.09.24	06:00:00	182.967	183.154	182.859	183.136	5707	5089344000	32
2015.09.24	07:00:00	183.136	183.276	183.037	183.133	6044	5003063000	34
2015.09.24	08:00:00	183.140	183.236	183.014	183.014	6390	5559797000	31
2015.09.24	09:00:00	183.014	183.454	182.942	183.380	8902	7899601000	29
2015.09.24	10:00:00	183.376	183.468	183.014	183.041	12944	11942249000	29
2015.09.24	11:00:00	183.041	183.448	183.030	183.234	13280	12494973000	29
2015.09.24	12:00:00	183.234	183.423	182.920	183.100	12426	11515648000	29
2015.09.24	13:00:00	183.100	183.264	182.594	182.630	13084	11524200000	29
2015.09.24	14:00:00	182.627	182.640	182.023	182.080	12565	10688092000	29
2015.09.24	15:00:00	182.082	182.221	181.616	181.886	12831	11756587000	29
2015.09.24	16:00:00	181.886	182.186	181.602	182.028	15031	13996859000	29
2015.09.24	17:00:00	182.025	182.399	181.987	182.320	16545	14016443000	29
2015.09.24	18:00:00	182.322	182.377	181.976	182.307	14339	12756916000	29
2015.09.24	19:00:00	182.306	182.711	182.305	182.338	10084	9577096000	29
2015.09.24	20:00:00	182.338	182.524	182.297	182.447	9341	9381779000	29
2015.09.24	21:00:00	182.444	182.938	182.395	182.864	9674	9397756000	29
2015.09.24	22:00:00	182.862	183.006	182.701	182.949	10334	10808994000	29
2015.09.24	23:00:00	182.949	183.009	182.842	182.963	5293	4892842000	29
2015.09.25	00:00:00	183.027	183.209	182.627	182.956	6838	6095087000	29
2015.09.25	01:00:00	182.963	183.218	182.940	183.126	6323	6364950000	29
2015.09.25	02:00:00	183.126	183.164	182.980	183.153	4392	4133459000	34
2015.09.25	03:00:00	183.146	183.242	182.994	183.089	9947	8698204000	29
2015.09.25	04:00:00	183.089	183.221	182.811	182.922	9113	7516358000	30
2015.09.25	05:00:00	182.920	182.931	182.641	182.874	8064	5975308000	29
2015.09.25	06:00:00	182.874	182.898	182.673	182.776	6648	6133301000	30
2015.09.25	07:00:00	182.777	183.117	182.760	183.029	6786	6732882000	29
2015.09.25	08:00:00	183.029	183.258	183.023	183.201	7876	6924803000	29
2015.09.25	09:00:00	183.201	183.824	183.141	183.521	9563	9076521000	29
2015.09.25	10:00:00	183.529	183.825	183.389	183.575	13757	11641895000	29
2015.09.25	11:00:00	183.574	184.416	183.574	184.336	13955	12205567000	29
2015.09.25	12:00:00	184.335	184.351	183.923	184.059	11765	11683549000	29
2015.09.25	13:00:00	184.056	184.149	183.867	183.876	9045	8310878000	29
2015.09.25	14:00:00	183.876	183.898	183.337	183.456	11555	10371000000	29
2015.09.25	15:00:00	183.455	183.842	183.359	183.684	13269	11847766000	29
2015.09.25	16:00:00	183.684	183.774	183.138	183.433	14125	12355843000	29
2015.09.25	17:00:00	183.431	183.558	183.096	183.302	15383	13162210000	29
2015.09.25	18:00:00	183.302	183.473	182.793	183.158	12653	11688784000	29
2015.09.25	19:00:00	183.157	183.249	183.072	183.224	8665	8733608000	29
2015.09.25	20:00:00	183.228	183.392	183.107	183.324	6351	5867119000	29
2015.09.25	21:00:00	183.321	183.393	183.079	183.276	9594	8885319000	29
2015.09.25	22:00:00	183.276	183.287	183.060	183.166	10770	10608579000	29
2015.09.25	23:00:00	183.166	183.226	182.815	182.979	3094	2070293000	32
2015.09.28	00:00:00	183.003	183.201	182.919	183.191	514	564000000	29
2015.09.28	01:00:00	183.215	183.292	183.111	183.179	3935	4934300000	34
2015.09.28	02:00:00	183.178	183.194	182.904	183.005	3570	3765100000	29
2015.09.28	03:00:00	182.997	183.078	182.740	183.030	8873	7881704000	29
2015.09.28	04:00:00	183.030	183.109	182.758	182.946	6454	5374072000	29
2015.09.28	05:00:00	182.947	182.988	182.826	182.916	4324	3972484000	31
2015.09.28	06:00:00	182.916	182.986	182.852	182.959	5068	4503889000	34
2015.09.28	07:00:00	182.959	183.066	182.778	182.898	6159	5858072000	30
2015.09.28	08:00:00	182.898	182.898	182.499	182.774	7983	6972852000	29
2015.09.28	09:00:00	182.775	182.830	182.520	182.639	8916	8342157000	29
2015.09.28	10:00:00	182.640	183.112	182.475	182.890	13472	10759791000	29
2015.09.28	11:00:00	182.886	183.256	182.768	183.156	11930	9837979000	29
2015.09.28	12:00:00	183.156	183.292	182.615	182.876	10808	9145787000	29
2015.09.28	13:00:00	182.872	182.977	182.382	182.490	10037	9130240000	29
2015.09.28	14:00:00	182.492	182.591	182.186	182.350	10480	9598772000	29
2015.09.28	15:00:00	182.348	182.758	182.279	182.599	11523	10923078000	29
2015.09.28	16:00:00	182.597	182.642	182.006	182.047	13844	12343646000	29
2015.09.28	17:00:00	182.055	182.259	181.828	181.904	16027	13970738000	29
2015.09.28	18:00:00	181.908	182.268	181.835	182.216	13282	12098062000	29
2015.09.28	19:00:00	182.216	182.217	181.929	182.070	9403	8958160000	29
2015.09.28	20:00:00	182.068	182.177	181.678	181.683	8876	8636228000	29
2015.09.28	21:00:00	181.684	182.014	181.626	181.739	8332	8323367000	34
2015.09.28	22:00:00	181.736	182.058	181.707	181.989	7729	7094594000	29
2015.09.28	23:00:00	181.993	182.044	181.888	181.926	4268	2762413000	33
2015.09.29	00:00:00	181.912	181.956	181.821	181.920	2706	1081515000	38
2015.09.29	01:00:00	181.920	182.031	181.770	181.836	4425	3070749000	29
2015.09.29	02:00:00	181.836	181.947	181.657	181.657	3823	3626150000	29
2015.09.29	03:00:00	181.656	181.694	181.370	181.501	9573	8224029000	29
2015.09.29	04:00:00	181.502	181.527	181.275	181.476	8579	7117917000	29
2015.09.29	05:00:00	181.475	181.630	181.359	181.424	6708	5423712000	33
2015.09.29	06:00:00	181.427	181.528	181.285	181.388	5772	4162804000	31
2015.09.29	07:00:00	181.388	181.435	181.157	181.229	6436	5006915000	29
2015.09.29	08:00:00	181.228	181.349	181.050	181.325	9061	7569444000	29
2015.09.29	09:00:00	181.328	181.382	180.941	181.132	10276	9141690000	29
2015.09.29	10:00:00	181.140	182.070	181.002	182.033	15369	13937208000	29
2015.09.29	11:00:00	182.033	182.512	181.739	182.213	13583	11170848000	29
2015.09.29	12:00:00	182.212	182.287	181.738	181.936	12289	10516593000	29
2015.09.29	13:00:00	181.942	182.254	181.842	182.156	9424	8484122000	29
2015.09.29	14:00:00	182.157	182.171	181.427	181.573	9957	8788087000	29
2015.09.29	15:00:00	181.571	181.879	181.534	181.777	11342	10785014000	29
2015.09.29	16:00:00	181.777	181.793	181.207	181.495	15510	14210535000	29
2015.09.29	17:00:00	181.495	182.021	181.465	181.531	17326	16106144000	29
2015.09.29	18:00:00	181.535	181.743	181.408	181.628	14429	14291205000	29
2015.09.29	19:00:00	181.630	181.646	181.317	181.439	12576	12868868000	29
2015.09.29	20:00:00	181.439	181.710	181.381	181.622	9280	6727666000	29
2015.09.29	21:00:00	181.624	181.646	181.354	181.357	9738	8217024000	29
2015.09.29	22:00:00	181.354	181.496	181.197	181.407	10552	9492751000	29
2015.09.29	23:00:00	181.408	181.539	181.373	181.388	5707	4814728000	33
2015.09.30	00:00:00	181.365	181.556	181.311	181.506	3199	2876225000	44
2015.09.30	01:00:00	181.506	181.556	181.450	181.540	5507	5388300000	42
2015.09.30	02:00:00	181.539	181.686	181.518	181.651	4288	3523835000	29
2015.09.30	03:00:00	181.656	181.877	181.599	181.777	8597	6772309000	29
2015.09.30	04:00:00	181.776	181.838	181.613	181.631	7256	5121383000	33
2015.09.30	05:00:00	181.628	181.671	181.479	181.531	5605	4001021000	33
2015.09.30	06:00:00	181.531	181.893	181.469	181.758	5927	4759371000	29
2015.09.30	07:00:00	181.758	181.833	181.629	181.799	5504	4860831000	29
2015.09.30	08:00:00	181.798	181.909	181.716	181.781	6763	6517490000	29
2015.09.30	09:00:00	181.777	181.913	181.605	181.651	8783	7700034000	29
2015.09.30	10:00:00	181.649	181.879	181.567	181.769	12022	9949836000	29
2015.09.30	11:00:00	181.766	182.696	181.749	182.475	12896	10761717000	29
2015.09.30	12:00:00	182.473	182.751	182.342	182.666	10949	9482912000	29
2015.09.30	13:00:00	182.661	183.032	182.519	182.727	9800	8554181000	29
2015.09.30	14:00:00	182.726	182.764	182.423	182.446	9234	8015889000	29
2015.09.30	15:00:00	182.443	182.484	182.011	182.242	11238	9435716000	22
2015.09.30	16:00:00	182.242	182.582	182.034	182.106	13472	12175559000	29
2015.09.30	17:00:00	182.105	182.142	181.392	181.422	15589	12481880000	29
2015.09.30	18:00:00	181.418	181.445	180.836	181.072	16300	12801193000	29
2015.09.30	19:00:00	181.072	181.145	180.857	181.056	9303	9048507000	29
2015.09.30	20:00:00	181.059	181.531	181.046	181.395	7784	7298434000	29
2015.09.30	21:00:00	181.394	181.542	181.307	181.372	5920	6107554000	29
2015.09.30	22:00:00	181.372	181.495	181.312	181.436	6658	7153689000	29
2015.09.30	23:00:00	181.435	181.470	181.190	181.323	5398	5168698000	29
2015.10.01	00:00:00	181.333	181.357	181.206	181.282	4102	3429570000	29
2015.10.01	01:00:00	181.292	181.406	181.266	181.356	5199	4561362000	34
2015.10.01	02:00:00	181.355	181.399	181.185	181.248	3015	2758550000	33
2015.10.01	03:00:00	181.248	181.309	181.069	181.291	7261	6808256000	30
2015.10.01	04:00:00	181.295	181.707	181.231	181.646	7904	7854808000	29
2015.10.01	05:00:00	181.646	181.956	181.618	181.853	8590	7620855000	29
2015.10.01	06:00:00	181.856	182.017	181.776	181.801	6904	5546073000	30
2015.10.01	07:00:00	181.806	181.990	181.806	181.911	6683	6169685000	33
2015.10.01	08:00:00	181.911	181.987	181.836	181.878	6537	6160932000	32
2015.10.01	09:00:00	181.876	181.876	181.648	181.669	6747	5535669000	29
2015.10.01	10:00:00	181.663	181.952	181.507	181.808	10358	8549560000	29
2015.10.01	11:00:00	181.808	181.992	181.678	181.883	11701	9852406000	29
2015.10.01	12:00:00	181.883	181.947	181.647	181.689	10315	9150144000	29
2015.10.01	13:00:00	181.689	181.857	181.533	181.633	9872	8698719000	29
2015.10.01	14:00:00	181.635	181.811	181.161	181.201	11417	10386725000	29
2015.10.01	15:00:00	181.201	181.386	181.107	181.361	11122	10181137000	29
2015.10.01	16:00:00	181.362	181.719	181.344	181.478	12896	10557398000	29
2015.10.01	17:00:00	181.476	181.683	181.281	181.281	15706	13135908000	29
2015.10.01	18:00:00	181.282	181.331	181.141	181.281	12810	11601871000	29
2015.10.01	19:00:00	181.283	181.456	181.100	181.386	8790	8544879000	29
2015.10.01	20:00:00	181.386	181.397	181.171	181.322	7426	7634320000	29
2015.10.01	21:00:00	181.323	181.511	181.292	181.482	6264	7744161000	29
2015.10.01	22:00:00	181.479	181.481	181.298	181.403	6364	7700711000	29
2015.10.01	23:00:00	181.405	181.471	181.388	181.401	4121	4202067000	21
2015.10.02	00:00:00	181.391	181.476	181.346	181.407	3061	2180339000	51
2015.10.02	01:00:00	181.410	181.419	181.316	181.357	3319	2855597000	36
2015.10.02	02:00:00	181.357	181.406	181.319	181.372	3560	3044200000	37
2015.10.02	03:00:00	181.372	181.606	181.350	181.576	7063	6267747000	30
2015.10.02	04:00:00	181.576	181.695	181.517	181.666	7210	5875709000	29
2015.10.02	05:00:00	181.666	181.794	181.604	181.629	8067	6601039000	31
2015.10.02	06:00:00	181.629	181.758	181.529	181.696	6440	5776826000	31
2015.10.02	07:00:00	181.696	181.736	181.532	181.614	4598	4513133000	33
2015.10.02	08:00:00	181.615	181.771	181.549	181.757	5386	5353736000	30
2015.10.02	09:00:00	181.757	181.969	181.750	181.809	6883	6905159000	31
2015.10.02	10:00:00	181.807	182.002	181.748	181.771	11416	10387897000	29
2015.10.02	11:00:00	181.776	182.246	181.689	182.064	10035	8162542000	29
2015.10.02	12:00:00	182.066	182.142	181.945	182.018	8434	6385391000	29
2015.10.02	13:00:00	182.022	182.194	181.985	182.098	7082	5574474000	29
2015.10.02	14:00:00	182.096	182.336	181.984	182.280	7936	6743641000	29
2015.10.02	15:00:00	182.280	182.572	181.155	181.454	17200	13008869000	29
2015.10.02	16:00:00	181.454	181.477	180.799	180.916	18807	13240949000	29
2015.10.02	17:00:00	180.906	181.282	180.646	181.200	11649	9533213000	29
2015.10.02	18:00:00	181.204	181.766	181.192	181.667	15734	12757097000	29
2015.10.02	19:00:00	181.666	182.263	181.642	182.066	13190	10801896000	29
2015.10.02	20:00:00	182.066	182.288	181.854	181.925	12384	12108989000	29
2015.10.02	21:00:00	181.923	182.244	181.879	182.041	10024	10307200000	31
2015.10.02	22:00:00	182.043	182.476	182.042	182.291	10627	10461946000	29
2015.10.02	23:00:00	182.300	182.301	181.869	181.941	3909	2659961000	35
2015.10.05	00:00:00	182.284	182.343	182.059	182.061	3727	3451557000	39
2015.10.05	01:00:00	182.088	182.191	181.857	182.166	8803	8275564000	40
2015.10.05	02:00:00	182.169	182.320	182.085	182.265	4510	4402550000	31
2015.10.05	03:00:00	182.263	182.437	182.188	182.382	9008	9142527000	29
2015.10.05	04:00:00	182.382	182.447	182.278	182.426	8301	7817366000	32
2015.10.05	05:00:00	182.426	182.603	182.400	182.588	6833	6453303000	32
2015.10.05	06:00:00	182.586	182.650	182.547	182.641	5617	5000912000	35
2015.10.05	07:00:00	182.641	182.667	182.527	182.542	5770	4199778000	32
2015.10.05	08:00:00	182.544	182.563	182.373	182.541	6846	5949535000	32
2015.10.05	09:00:00	182.540	182.716	182.469	182.634	8416	8217098000	29
2015.10.05	10:00:00	182.634	183.119	182.609	183.021	14999	12844026000	29
2015.10.05	11:00:00	183.021	183.188	182.315	182.546	13530	11157727000	29
2015.10.05	12:00:00	182.544	182.960	182.473	182.898	12584	10607845000	29
2015.10.05	13:00:00	182.900	183.026	182.524	182.630	10534	8682547000	29
2015.10.05	14:00:00	182.628	182.688	182.481	182.522	9586	8698404000	29
2015.10.05	15:00:00	182.524	182.562	182.293	182.359	10472	8774222000	29
2015.10.05	16:00:00	182.359	182.519	182.206	182.421	11251	8517096000	29
2015.10.05	17:00:00	182.446	182.628	182.283	182.563	11815	9004433000	29
2015.10.05	18:00:00	182.563	182.703	182.424	182.527	10575	8848160000	29
2015.10.05	19:00:00	182.526	182.592	182.402	182.540	9388	7359721000	29
2015.10.05	20:00:00	182.541	182.662	182.398	182.631	6670	5166262000	29
2015.10.05	21:00:00	182.629	182.667	182.445	182.560	5174	4007400000	29
2015.10.05	22:00:00	182.559	182.601	182.434	182.469	5725	4503938000	29
2015.10.05	23:00:00	182.470	182.508	182.254	182.407	3177	2638188000	29
2015.10.06	00:00:00	182.385	182.486	182.291	182.486	1648	1288450000	36
2015.10.06	01:00:00	182.486	182.518	182.422	182.430	3140	2072400000	29
2015.10.06	02:00:00	182.434	182.557	182.370	182.537	2550	2005764000	29
2015.10.06	03:00:00	182.536	182.551	182.396	182.434	6076	5520974000	29
2015.10.06	04:00:00	182.435	182.571	182.417	182.557	5395	4130410000	29
2015.10.06	05:00:00	182.557	182.723	182.501	182.664	4214	3262880000	29
2015.10.06	06:00:00	182.666	182.716	182.570	182.637	5561	4112278000	29
2015.10.06	07:00:00	182.638	182.698	182.583	182.694	4740	3177890000	30
2015.10.06	08:00:00	182.695	182.706	182.380	182.416	5725	4288555000	29
2015.10.06	09:00:00	182.416	182.451	181.996	182.142	7595	6122385000	29
2015.10.06	10:00:00	182.144	182.373	182.017	182.069	9850	7419949000	29
2015.10.06	11:00:00	182.069	182.600	181.966	182.577	9564	7122311000	29
2015.10.06	12:00:00	182.577	182.717	182.408	182.428	7233	5347670000	29
2015.10.06	13:00:00	182.428	182.582	182.375	182.479	6720	5043109000	29
2015.10.06	14:00:00	182.481	182.582	182.373	182.511	7205	5572591000	29
2015.10.06	15:00:00	182.513	182.682	182.497	182.670	7923	5955396000	29
2015.10.06	16:00:00	182.670	183.081	182.632	183.009	10186	6776899000	29
2015.10.06	17:00:00	183.007	183.099	182.756	182.811	13212	10063980000	29
2015.10.06	18:00:00	182.810	183.167	182.736	182.977	11470	9534699000	29
2015.10.06	19:00:00	182.979	183.126	182.903	183.098	7983	6312603000	29
2015.10.06	20:00:00	183.098	183.153	183.009	183.116	5743	4456496000	29
2015.10.06	21:00:00	183.117	183.259	183.084	183.108	6047	4713849000	29
2015.10.06	22:00:00	183.108	183.229	183.072	183.188	6061	4660685000	29
2015.10.06	23:00:00	183.188	183.205	183.011	183.011	3484	2199087000	29
2015.10.07	00:00:00	182.996	183.145	182.922	183.119	3398	2743499000	32
2015.10.07	01:00:00	183.117	183.143	183.036	183.093	4166	2938200000	30
2015.10.07	02:00:00	183.092	183.135	183.007	183.080	3312	2428550000	29
2015.10.07	03:00:00	183.082	183.257	183.046	183.210	6254	5148012000	29
2015.10.07	04:00:00	183.209	183.352	183.176	183.324	4471	3983446000	29
2015.10.07	05:00:00	183.325	183.346	182.593	183.073	5651	4484574000	29
2015.10.07	06:00:00	183.067	183.126	182.489	182.879	10582	8021127000	29
2015.10.07	07:00:00	182.879	183.252	182.806	183.012	7759	5324876000	29
2015.10.07	08:00:00	183.010	183.143	182.981	183.053	5783	4571850000	29
2015.10.07	09:00:00	183.046	183.200	182.866	182.966	7957	6365796000	29
2015.10.07	10:00:00	182.966	183.493	182.833	183.280	11468	8949025000	29
2015.10.07	11:00:00	183.281	183.770	183.216	183.646	10608	8651657000	29
2015.10.07	12:00:00	183.646	183.663	183.414	183.436	8074	6053522000	29
2015.10.07	13:00:00	183.438	183.836	183.407	183.829	8252	6435722000	29
2015.10.07	14:00:00	183.832	184.040	183.700	183.777	7756	5920363000	29
2015.10.07	15:00:00	183.777	183.994	183.720	183.806	8985	6893776000	29
2015.10.07	16:00:00	183.806	183.886	183.412	183.470	10770	8773373000	29
2015.10.07	17:00:00	183.471	183.755	183.434	183.754	12063	9529989000	29
2015.10.07	18:00:00	183.754	183.789	183.408	183.598	12346	9775049000	29
2015.10.07	19:00:00	183.602	183.892	183.589	183.699	7536	5699806000	29
2015.10.07	20:00:00	183.699	183.846	183.655	183.788	5996	4212183000	29
2015.10.07	21:00:00	183.791	183.836	183.592	183.666	5786	4446195000	29
2015.10.07	22:00:00	183.663	183.876	183.646	183.869	5557	5106335000	29
2015.10.07	23:00:00	183.870	183.883	183.767	183.814	2460	2137650000	29
2015.10.08	00:00:00	183.761	183.850	183.693	183.780	1505	821200000	29
2015.10.08	01:00:00	183.779	183.786	183.711	183.747	2478	1909500000	34
2015.10.08	02:00:00	183.749	183.772	183.629	183.664	1977	1879600000	29
2015.10.08	03:00:00	183.668	183.836	183.528	183.797	5529	4838386000	29
2015.10.08	04:00:00	183.799	183.943	183.576	183.665	6814	5548118000	29
2015.10.08	05:00:00	183.668	183.697	183.526	183.603	5176	4724996000	25
2015.10.08	06:00:00	183.603	183.633	183.416	183.506	5010	4010549000	29
2015.10.08	07:00:00	183.506	183.510	183.359	183.476	4772	3655296000	29
2015.10.08	08:00:00	183.476	183.507	183.418	183.454	4365	3538800000	29
2015.10.08	09:00:00	183.466	183.634	183.321	183.367	7509	6087410000	29
2015.10.08	10:00:00	183.364	183.722	183.336	183.602	11611	8925193000	29
2015.10.08	11:00:00	183.603	183.717	183.436	183.553	9100	7047095000	29
2015.10.08	12:00:00	183.556	183.856	183.438	183.821	7718	5103350000	29
2015.10.08	13:00:00	183.821	184.115	183.725	183.817	7933	5920110000	29
2015.10.08	14:00:00	183.806	183.940	183.230	183.271	10939	8596249000	29
2015.10.08	15:00:00	183.270	183.333	183.084	183.175	10848	8475999000	29
2015.10.08	16:00:00	183.174	183.196	182.995	183.132	9928	7215808000	29
2015.10.08	17:00:00	183.132	183.406	183.129	183.289	9900	6908236000	24
2015.10.08	18:00:00	183.296	183.691	183.210	183.691	8650	7222312000	29
2015.10.08	19:00:00	183.691	183.817	183.676	183.741	7712	6119176000	29
2015.10.08	20:00:00	183.742	183.904	183.657	183.682	6143	5032638000	29
2015.10.08	21:00:00	183.689	184.257	183.666	184.186	13021	11014623000	29
2015.10.08	22:00:00	184.176	184.258	184.055	184.145	5914	5375340000	29
2015.10.08	23:00:00	184.149	184.160	183.994	184.025	3556	2025823000	29
2015.10.09	00:00:00	184.006	184.055	183.934	184.028	1227	623650000	39
2015.10.09	01:00:00	184.010	184.052	183.942	184.042	2830	1944600000	29
2015.10.09	02:00:00	184.040	184.104	184.017	184.082	2489	1858200000	29
2015.10.09	03:00:00	184.082	184.223	184.057	184.145	5435	3663200000	29
2015.10.09	04:00:00	184.145	184.261	184.009	184.237	5908	4783927000	29
2015.10.09	05:00:00	184.237	184.300	184.195	184.255	3865	2924500000	29
2015.10.09	06:00:00	184.252	184.368	184.195	184.356	5010	3656303000	29
2015.10.09	07:00:00	184.354	184.425	184.301	184.381	4044	3308250000	29
2015.10.09	08:00:00	184.377	184.460	184.361	184.424	4387	3240600000	29
2015.10.09	09:00:00	184.426	184.807	184.392	184.618	7444	6185933000	29
2015.10.09	10:00:00	184.621	184.807	184.521	184.547	11899	9192388000	29
2015.10.09	11:00:00	184.547	184.729	184.327	184.633	10380	7276919000	29
2015.10.09	12:00:00	184.631	184.789	184.493	184.607	9763	7410199000	29
2015.10.09	13:00:00	184.609	184.838	184.445	184.458	10899	8257560000	29
2015.10.09	14:00:00	184.458	184.573	184.271	184.517	8577	7103573000	29
2015.10.09	15:00:00	184.518	184.622	184.417	184.524	10874	8646060000	29
2015.10.09	16:00:00	184.524	184.581	184.126	184.311	10134	7498453000	29
2015.10.09	17:00:00	184.314	184.399	183.983	184.151	11818	7928506000	29
2015.10.09	18:00:00	184.148	184.293	184.030	184.214	10602	7949432000	29
2015.10.09	19:00:00	184.215	184.403	184.174	184.345	6509	4910868000	29
2015.10.09	20:00:00	184.343	184.426	184.255	184.350	5803	4752274000	29
2015.10.09	21:00:00	184.351	184.471	184.333	184.448	4549	3979850000	32
2015.10.09	22:00:00	184.454	184.470	184.144	184.163	3582	2751000000	29
2015.10.09	23:00:00	184.164	184.225	183.921	184.139	1924	756099000	29
2015.10.12	00:00:00	184.061	184.135	184.002	184.070	2326	2803500000	51
2015.10.12	01:00:00	184.080	184.262	184.066	184.157	7454	7632050000	31
2015.10.12	02:00:00	184.156	184.219	184.097	184.129	2216	2123850000	30
2015.10.12	03:00:00	184.132	184.136	184.008	184.095	2856	2438006000	29
2015.10.12	04:00:00	184.096	184.141	184.001	184.140	2453	1740000000	29
2015.10.12	05:00:00	184.140	184.304	184.129	184.229	2541	1666538000	31
2015.10.12	06:00:00	184.229	184.318	184.191	184.218	2129	1907650000	29
2015.10.12	07:00:00	184.217	184.246	184.167	184.201	1541	1390200000	29
2015.10.12	08:00:00	184.202	184.262	184.151	184.193	2578	2297800000	25
2015.10.12	09:00:00	184.194	184.420	184.183	184.353	4046	3201079000	21
2015.10.12	10:00:00	184.357	184.668	184.254	184.623	7469	6327938000	29
2015.10.12	11:00:00	184.623	184.680	184.369	184.412	6609	4964615000	29
2015.10.12	12:00:00	184.412	184.544	184.314	184.415	6979	5586519000	29
2015.10.12	13:00:00	184.415	184.499	184.303	184.308	5578	4770168000	29
2015.10.12	14:00:00	184.307	184.586	184.307	184.561	5764	4535043000	29
2015.10.12	15:00:00	184.559	184.660	184.461	184.544	6932	5821878000	29
2015.10.12	16:00:00	184.544	184.681	184.278	184.303	8951	7026991000	29
2015.10.12	17:00:00	184.300	184.384	184.004	184.004	8656	6962003000	29
2015.10.12	18:00:00	184.005	184.128	183.925	184.090	7120	5598431000	29
2015.10.12	19:00:00	184.087	184.266	183.970	184.177	4174	3207950000	29
2015.10.12	20:00:00	184.181	184.206	184.038	184.087	2512	2032200000	29
