iter	Passed	Remaining
402	14770	21881
403	14800	21834
404	14833	21791
405	14862	21745
406	14893	21700
407	14923	21654
408	14956	21611
409	14991	21572
410	15021	21527
411	15055	21486
412	15089	21447
413	15122	21404
414	15161	21372
415	15190	21325
416	15224	21284
417	15254	21240
418	15292	21204
419	15325	21163
420	15356	21120
421	15385	21072
422	15418	21032
423	15449	20988
424	15483	20948
425	15512	20901
426	15540	20854
427	15569	20807
428	15605	20770
429	15635	20726
430	15677	20697
431	15716	20664
432	15756	20633
433	15809	20617
434	15850	20588
435	15892	20557
436	15943	20540
437	15995	20524
438	16035	20491
439	16066	20448
440	16100	20408
441	16133	20368
442	16162	20322
443	16189	20273
444	16218	20227
445	16253	20189
446	16284	20146
447	16316	20103
448	16346	20060
449	16379	20019
450	16411	19977
451	16445	19938
452	16481	19901
453	16534	19884
454	16571	19849
455	16604	19808
456	16636	19767
457	16670	19727
458	16701	19685
459	16735	19645
460	16763	19599
461	16802	19566
462	16841	19532
463	16873	19492
464	16905	19450
465	16941	19413
466	16973	19372
467	17009	19335
468	17042	19295
469	17085	19266
470	17127	19236
471	17160	19196
472	17195	19158
473	17236	19126
474	17273	19091
475	17310	19056
476	17346	19019
477	17374	18974
478	17404	18930
479	17435	18887
480	17470	18850
481	17496	18803
482	17530	18764
483	17561	18722
484	17594	18683
485	17626	18642
486	17658	18601
487	17691	18561
488	17722	18520
489	17765	18491
490	17814	18467
491	17856	18437
492	17899	18407
493	17936	18372
494	17970	18333
495	18009	18300
496	18037	18254
497	18064	18209
498	18092	18165
499	18120	18120
500	18146	18074
501	18168	18023
502	18193	17976
503	18216	17927
504	18236	17875
505	18259	17826
506	18285	17780
507	18320	17743
508	18347	17698
509	18374	17653
510	18399	17607
511	18428	17564
512	18463	17528
513	18491	17484
514	18516	17437
515	18538	17388
516	18562	17341
517	18586	17294
518	18611	17249
519	18632	17199
520	18661	17157
521	18687	17112
522	18714	17068
523	18745	17028
524	18770	16982
525	18790	16933
526	18815	16887
527	18837	16839
528	18862	16794
529	18885	16747
530	18908	16701
531	18935	16657
532	18957	16610
533	18979	16562
534	19003	16516
535	19023	16468
536	19045	16421
537	19073	16379
538	19104	16339
539	19124	16290
540	19148	16246
541	19173	16201
542	19194	16154
543	19215	16107
544	19237	16060
545	19264	16018
546	19283	15969
547	19305	15923
548	19329	15879
549	19351	15833
550	19375	15788
551	19400	15745
552	19424	15701
553	19453	15661
554	19478	15617
555	19512	15581
556	19541	15542
557	19567	15499
558	19639	15493
559	19844	15591
560	19912	15582
561	19939	15540
562	19971	15502
563	20000	15461
564	20033	15423
565	20057	15379
566	20087	15339
567	20112	15297
568	20155	15266
569	20188	15230
570	20217	15189
571	20249	15151
572	20273	15107
573	20304	15069
574	20331	15027
575	20357	14985
576	20383	14943
577	20404	14897
578	20426	14852
579	20448	14807
580	20470	14762
581	20494	14719
582	20518	14676
583	20542	14633
584	20569	14592
585	20594	14549
586	20615	14504
587	20636	14459
588	20659	14416
589	20682	14372
590	20702	14327
591	20725	14283
592	20752	14242
593	20771	14197
594	20795	14154
595	20822	14114
596	20848	14073
597	20873	14032
598	20904	13994
599	20931	13954
600	20956	13912
601	20984	13873
602	21010	13832
603	21035	13791
604	21064	13752
605	21095	13715
606	21123	13676
607	21148	13635
608	21170	13592
609	21192	13549
610	21215	13506
611	21241	13466
612	21265	13425
613	21291	13385
614	21316	13344
615	21340	13303
616	21362	13260
617	21389	13221
618	21411	13179
619	21434	13137
620	21458	13096
621	21483	13056
622	21512	13018
623	21538	12978
624	21564	12938
625	21595	12902
626	21622	12862
627	21648	12823
628	21669	12780
629	21691	12739
630	21713	12697
631	21738	12657
632	21764	12618
633	21790	12579
634	21815	12539
635	21840	12499
636	21862	12458
637	21885	12417
638	21915	12380
639	21940	12341
640	21963	12300
641	21988	12261
642	22012	12221
643	22030	12178
644	22056	12139
645	22079	12099
646	22108	12062
647	22143	12028
648	22174	11992
649	22206	11957
650	22244	11925
651	22277	11890
652	22307	11854
653	22334	11816
654	22362	11778
655	22391	11742
656	22418	11703
657	22441	11664
658	22466	11625
659	22490	11585
660	22512	11545
661	22536	11506
662	22556	11465
663	22582	11427
664	22608	11389
665	22631	11349
666	22654	11310
667	22682	11273
668	22712	11237
669	22743	11202
670	22770	11164
671	22794	11126
672	22821	11088
673	22845	11049
674	22870	11011
675	22896	10973
676	22919	10935
677	22945	10897
678	22969	10858
679	22991	10819
680	23012	10779
681	23039	10742
682	23069	10707
683	23091	10667
684	23115	10629
685	23136	10590
686	23163	10553
687	23194	10518
688	23219	10480
689	23245	10443
690	23268	10404
691	23297	10369
692	23321	10331
693	23347	10294
694	23375	10258
695	23406	10223
696	23432	10186
697	23460	10150
698	23489	10114
699	23519	10079
700	23547	10043
701	23572	10006
702	23601	9971
703	23625	9933
704	23649	9895
705	23673	9858
706	23696	9820
707	23719	9782
708	23742	9744
709	23764	9706
710	23792	9671
711	23814	9632
712	23839	9595
713	23865	9559
714	23888	9522
715	23914	9485
716	23938	9448
717	23961	9411
718	23982	9372
719	24014	9339
720	24044	9304
721	24078	9271
722	24108	9236
723	24134	9200
724	24156	9162
725	24182	9126
726	24205	9089
727	24231	9053
728	24254	9016
729	24283	8981
730	24311	8946
731	24339	8911
732	24367	8876
733	24395	8840
734	24428	8807
735	24457	8772
736	24480	8735
737	24515	8703
738	24548	8670
739	24585	8638
740	24616	8604
741	24651	8571
742	24679	8536
743	24710	8502
744	24738	8467
745	24764	8431
746	24790	8396
747	24814	8359
748	24837	8323
749	24864	8288
750	24887	8251
751	24908	8214
752	24935	8179
753	24960	8143
754	24980	8106
755	25003	8069
756	25028	8034
757	25058	8000
758	25084	7964
759	25102	7927
760	25123	7890
761	25146	7854
762	25171	7818
763	25194	7782
764	25218	7746
765	25253	7714
766	25278	7679
767	25307	7644
768	25339	7611
769	25368	7577
770	25393	7542
771	25417	7506
772	25438	7470
773	25463	7435
774	25490	7400
775	25518	7366
776	25539	7329
777	25564	7294
778	25588	7259
779	25608	7222
780	25630	7187
781	25656	7152
782	25680	7116
783	25701	7081
784	25725	7045
785	25749	7010
786	25773	6975
787	25804	6942
788	25826	6906
789	25854	6872
790	25883	6838
791	25912	6805
792	25941	6771
793	25965	6736
794	26000	6704
795	26023	6669
796	26053	6636
797	26081	6602
798	26106	6567
799	26132	6533
800	26155	6498
801	26183	6464
802	26210	6430
803	26235	6395
804	26259	6361
805	26284	6326
806	26311	6292
807	26339	6258
808	26365	6224
809	26389	6190
810	26419	6157
811	26452	6124
812	26490	6093
813	26520	6059
814	26549	6026
815	26577	5992
816	26605	5959
817	26638	5926
818	26669	5893
819	26699	5860
820	26735	5829
821	26765	5795
822	26786	5760
823	26808	5726
824	26832	5691
825	26858	5657
826	26881	5623
827	26908	5589
828	26936	5556
829	26966	5523
830	26988	5488
831	27027	5457
832	27053	5423
833	27088	5391
834	27117	5358
835	27145	5325
836	27173	5291
837	27202	5258
838	27230	5225
839	27256	5191
840	27281	5157
841	27312	5125
842	27339	5091
843	27369	5058
844	27394	5025
845	27423	4991
846	27447	4958
847	27477	4925
848	27510	4892
849	27536	4859
850	27561	4825
851	27582	4791
852	27602	4756
853	27627	4723
854	27650	4689
855	27676	4655
856	27701	4622
857	27727	4588
858	27748	4554
859	27775	4521
860	27799	4488
861	27821	4454
862	27842	4420
863	27870	4387
864	27895	4353
865	27921	4320
866	27945	4286
867	27985	4255
868	28015	4223
869	28038	4189
870	28060	4155
871	28087	4122
872	28107	4088
873	28130	4055
874	28155	4022
875	28183	3989
876	28216	3957
877	28239	3923
878	28267	3891
879	28294	3858
880	28317	3824
881	28336	3791
882	28359	3757
883	28383	3724
884	28401	3690
885	28426	3657
886	28456	3625
887	28483	3592
888	28512	3560
889	28550	3528
890	28579	3496
891	28614	3464
892	28645	3432
893	28681	3400
894	28713	3368
895	28741	3336
896	28772	3303
897	28804	3271
898	28828	3238
899	28850	3205
900	28870	3172
901	28894	3139
902	28918	3106
903	28937	3072
904	28960	3040
905	28987	3007
906	29020	2975
907	29038	2942
908	29064	2909
909	29088	2876
910	29109	2843
911	29132	2811
912	29154	2778
913	29177	2745
914	29198	2712
915	29219	2679
916	29243	2646
917	29263	2613
918	29289	2581
919	29311	2548
920	29334	2516
921	29355	2483
922	29381	2451
923	29404	2418
924	29426	2385
925	29448	2353
926	29470	2320
927	29494	2288
928	29521	2256
929	29548	2224
930	29571	2191
931	29593	2159
932	29619	2126
933	29642	2094
934	29669	2062
935	29692	2030
936	29715	1997
937	29736	1965
938	29761	1933
939	29789	1901
940	29823	1869
941	29855	1838
942	29883	1806
943	29914	1774
944	29943	1742
945	29966	1710
946	29990	1678
947	30011	1646
948	30038	1614
949	30061	1582
950	30084	1550
951	30109	1518
952	30137	1486
953	30161	1454
954	30189	1422
955	30215	1390
956	30237	1358
957	30255	1326
958	30280	1294
959	30313	1263
960	30342	1231
961	30369	1199
962	30393	1167
963	30419	1136
964	30441	1104
965	30463	1072
966	30486	1040
967	30509	1008
968	30529	976
969	30556	945
970	30584	913
971	30611	881
972	30641	850
973	30674	818
974	30701	787
975	30726	755
976	30755	724
977	30782	692
978	30810	660
979	30840	629
980	30867	597
981	30897	566
982	30922	534
983	30948	503
984	30974	471
985	31007	440
986	31032	408
987	31058	377
988	31083	345
989	31110	314
990	31142	282
991	31170	251
992	31193	219
993	31220	188
994	31242	156
995	31263	125
996	31286	94
997	31308	62
998	31337	31
999	31362	0
